Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2022-05-11,313.3999938964844,320.30999755859375,312.04998779296875,312.7900085449219,312.7900085449219,1065500,PSA
2022-05-12,315.0400085449219,317.3399963378906,309.6300048828125,314.1400146484375,314.1400146484375,782800,PSA
2022-05-13,316.80999755859375,319.32000732421875,311.6099853515625,318.5299987792969,318.5299987792969,783300,PSA
2022-05-11,127.4000015258789,130.25999450683594,126.93000030517578,127.0,127.0,1716800,DLR
2022-05-12,126.58999633789062,127.37999725341797,125.11000061035156,127.11000061035156,127.11000061035156,1480000,DLR
2022-05-13,128.50999450683594,131.69000244140625,126.80000305175781,131.19000244140625,131.19000244140625,2289500,DLR
2022-05-11,175.1199951171875,180.0500030517578,174.75999450683594,174.9600067138672,174.9600067138672,886200,EXR
2022-05-12,175.2899932861328,175.4600067138672,171.5,174.72000122070312,174.72000122070312,885800,EXR
2022-05-13,176.72999572753906,179.05999755859375,174.5399932861328,178.9600067138672,178.9600067138672,567900,EXR
2022-05-11,226.4499969482422,229.3800048828125,223.92999267578125,224.72000122070312,224.72000122070312,2104200,AMT
2022-05-12,224.6699981689453,226.57000732421875,222.02000427246094,225.5,225.5,2193700,AMT
2022-05-13,227.17999267578125,232.88999938964844,226.19000244140625,232.66000366210938,232.66000366210938,2229500,AMT
2022-05-11,631.6199951171875,645.75,621.5499877929688,624.1699829101562,624.1699829101562,741700,EQIX
2022-05-12,623.9099731445312,631.5499877929688,621.3400268554688,629.8800048828125,629.8800048828125,711200,EQIX
2022-05-13,642.4199829101562,662.7999877929688,635.1699829101562,659.7999877929688,659.7999877929688,690800,EQIX
